i ran ranlo ranhi faithful faithfullo faithfulhi
16 0.5750 0.4220 0.7149 0.5250 0.3750 0.6706
15 0.3250 0.2008 0.4798 0.2500 0.1419 0.4019
14 0.3500 0.1812 0.5671 0.3500 0.1812 0.5671
13 0.0500 0.0089 0.2361 0.0500 0.0089 0.2361
12 0.1333 0.0531 0.2968 0.1333 0.0531 0.2968
11 0.3500 0.1812 0.5671 0.2500 0.1119 0.4687
10 0.2000 0.0807 0.4160 0.1000 0.0279 0.3010
9 0.2000 0.0807 0.4160 0.1000 0.0279 0.3010
8 0.0500 0.0089 0.2361 0.0500 0.0089 0.2361
7 0.1579 0.0552 0.3757 0.0000 0.0000 0.1682
6 0.0000 0.0000 0.1611 0.0000 0.0000 0.1611
5 0.0000 0.0000 0.1611 0.0000 0.0000 0.1611
4 0.0000 0.0000 0.1611 0.0000 0.0000 0.1611
3 0.0000 0.0000 0.1611 0.0000 0.0000 0.1611
2 0.0000 0.0000 0.1611 0.0000 0.0000 0.1611
1 0.0000 0.0000 0.1611 0.0000 0.0000 0.1611
